0,1,2,3,4,loc,mean,prot,sample,sd
20180718-1252-0001,HPCA,cyto,18827.313414263725,7662.898089592325,,,,,
20180718-1252-0001,HPCA,memb,1514.025732421875,3028.05146484375,,,,,
20180718-1252-0001,YFP,cyto,223810.55690869092,108846.14872901399,,,,,
20180718-1252-0001,YFP,memb,21389.12451171875,42778.2490234375,,,,,
