cell,feature,time,int
cell15_01,cyto,18,-0.09563403357721365
cell15_01,cyto,19,-0.09260929840737077
cell15_01,cyto,20,-0.10417095060262543
cell15_01,cyto,21,-0.11929462645183969
cell15_01,cyto,22,-0.12311036966774341
cell15_01,cyto,23,-0.11259841997386519
cell15_01,cyto,24,-0.11937919963915436
cell15_01,cyto,25,-0.14425366649641472
cell15_01,cyto,26,-0.12578188740821322
cell15_01,cyto,27,-0.1406617934822263
cell15_01,cyto,28,-0.14608940215048052
cell15_01,cyto,29,-0.13580629755168908
cell15_01,cyto,30,-0.1628995668526172
cell15_01,cyto,31,-0.14476608051367432
cell15_01,cyto,32,-0.15214384738353778
cell15_01,cyto,33,-0.14378105162612678
cell15_01,cyto,34,-0.14900468966615152
cell15_01,cyto,35,-0.1589445266223127
cell15_01,cyto,36,-0.14670131403516923
cell15_01,cyto,37,-0.16094940865100785
cell15_01,cyto,38,-0.14325868782212436
cell15_01,cyto,39,-0.15770577817282116
cell15_01,cyto,40,-0.15263138693394
cell15_01,cyto,41,-0.1606459401553494
cell15_01,cyto,42,-0.15513375829978046
cell15_01,cyto,43,-0.16390449531365048
cell15_01,cyto,44,-0.16643671603971952
cell15_01,cyto,45,-0.1636756502185636
cell15_01,cyto,46,-0.16600887520977473
cell15_01,cyto,47,-0.16698395431057933
cell15_01,cyto,48,-0.15705406714116094
cell15_01,cyto,49,-0.16672028496189223
cell15_01,cyto,50,-0.15959623765397293
cell15_01,cyto,51,-0.1959179341589446
cell15_01,cyto,52,-0.182629993963796
cell15_01,cyto,53,-0.17016788606830857
cell15_01,cyto,54,-0.17299362550329342
cell15_01,cyto,55,-0.15807392028230854
cell15_01,cyto,56,-0.17744118017737145
cell15_01,cyto,57,-0.1727349310479778
cell15_01,cyto,58,-0.1579395981612794
cell15_01,cyto,59,-0.1726254833938059
cell15_01,cyto,60,-0.17886897457497822
cell15_01,cyto,61,-0.17548107218901945
cell15_01,cyto,62,-0.16871521720384458
cell15_01,cyto,63,-0.17096884390111236
cell15_01,cyto,64,-0.17536664964147608
cell15_01,cyto,65,-0.18087385660367353
cell15_01,cyto,66,-0.16806848106555583
cell15_01,cyto,67,-0.17086437114031194
cell15_01,cyto,68,-0.18021219578527034
cell15_01,cyto,69,-0.17372493482889684
cell15_01,cyto,70,-0.18201808207910744
cell15_01,cyto,71,-0.17447116883461466
